Customer ID,Customer Name,Last_Order_Date,Frequency,Monetary,Recency,R,F,M,RFM_Score,Segment
AM-10360,Alice McCarthy,2018-05-28,5,814.01,216,4,2,1,421,Others
AM-10705,Anne McFarland,2015-10-31,8,5664.02,1156,1,3,4,134,Others
AO-10810,Anthony O'Donnell,2017-08-16,1,161.28,501,3,1,1,311,Potential
AP-10720,Anne Pryor,2017-05-23,6,545.93,586,2,2,1,221,At Risk
AP-10915,Arthur Prichep,2015-09-29,10,3323.56,1188,1,4,3,143,Others
AR-10345,Alex Russell,2015-12-30,4,1055.69,1096,1,1,1,111,Others
AR-10405,Allen Rosenblatt,2016-07-31,5,2236.13,882,2,2,3,223,Others
AR-10510,Andrew Roberts,2016-08-31,5,264.86,851,2,2,1,221,At Risk
AR-10540,Andy Reiter,2017-09-29,6,6608.45,457,3,2,4,324,Others
AR-10570,Anemone Ratner,2017-07-14,1,88.15,534,2,1,1,211,At Risk
AR-10825,Anthony Rawles,2015-06-30,8,4523.34,1279,1,3,4,134,Others
AS-10045,Aaron Smayling,2017-03-28,7,3050.69,642,2,3,3,233,Others
AS-10090,Adam Shillingsburg,2015-12-24,9,3255.31,1102,1,4,3,143,Others
AS-10135,Adrian Shami,2018-11-19,2,58.82,41,4,1,1,411,Others
AS-10225,Alan Schoenberger,2015-10-18,5,4260.78,1169,1,2,4,124,Others
AS-10240,Alan Shonely,2016-03-29,5,503.97,1006,1,2,1,121,Others
AS-10285,Alejandro Savely,2017-10-28,6,3214.24,428,3,2,3,323,Others
AS-10630,Ann Steele,2018-04-30,7,833.4,244,4,3,1,431,Others
AT-10435,Alyssa Tate,2015-12-27,5,1166.07,1099,1,2,2,122,Others
AT-10735,Annie Thurman,2015-08-30,10,3831.86,1218,1,4,4,144,Others
AW-10840,Anthony Witt,2016-11-29,4,649.38,761,2,1,1,211,At Risk
AW-10930,Arthur Wiediger,2018-08-31,7,2852.97,121,4,3,3,433,Others
AY-10555,Andy Yotov,2015-12-26,4,497.01,1100,1,1,1,111,Others
AZ-10750,Annie Zypern,2015-03-25,6,1622.02,1376,1,2,2,122,Others
BB-10990,Barry Blumstein,2015-07-27,5,744.34,1252,1,2,1,121,Others
BB-11545,Brenda Bowman,2017-12-26,9,6765.73,369,3,4,4,344,Champions
BC-11125,Becky Castell,2017-07-25,9,2933.68,523,3,4,3,343,Others
BD-11320,Bill Donatelli,2017-10-31,12,5718.52,425,3,4,4,344,Champions
BD-11500,Bradley Drucker,2018-01-26,6,4411.24,338,3,2,4,324,Others
BD-11560,Brendan Dodson,2016-05-30,2,320.54,944,2,1,1,211,At Risk
BD-11605,Brian Dahlen,2017-12-30,6,2783.19,365,3,2,3,323,Others
BD-11620,Brian DeCherney,2017-12-31,6,1538.11,364,3,2,2,322,Potential
BD-11635,Brian Derr,2018-12-21,3,582.65,9,4,1,1,411,Others
BD-11725,Bruce Degenhardt,2018-05-30,6,1526.5,214,4,2,2,422,Others
BD-11770,Bryan Davis,2018-01-29,6,658.47,335,3,2,1,321,Potential
BE-11335,Bill Eplett,2017-07-25,5,4204.68,523,3,2,4,324,Others
BE-11410,Bobby Elias,2018-09-23,5,2261.44,98,4,2,3,423,Others
BE-11455,Brad Eason,2016-09-14,5,748.03,837,2,2,1,221,At Risk
BF-10975,Barbara Fisher,2018-09-30,7,599.8,91,4,3,1,431,Others
BF-11005,Barry Franz,2017-07-28,4,1333.88,520,3,1,2,312,Potential
BF-11020,Barry Französisch,2016-10-30,8,2888.51,791,2,3,3,233,Others
BF-11080,Bart Folk,2015-11-28,3,272.95,1128,1,1,1,111,Others
BF-11170,Ben Ferrer,2017-01-31,11,5907.97,698,2,4,4,244,Others
BF-11215,Benjamin Farhat,2018-10-26,4,1585.16,65,4,1,2,412,Others
BF-11275,Beth Fritzler,2015-03-22,3,791.99,1379,1,1,1,111,Others
BG-11035,Barry Gonzalez,2016-12-31,8,2798.95,729,2,3,3,233,Others
BG-11695,Brooke Gillingham,2017-05-30,6,1874.17,579,2,2,2,222,At Risk
BG-11740,Bruce Geld,2017-08-30,6,1006.36,487,3,2,1,321,Potential
BH-11710,Brosina Hoffman,2016-11-22,8,6255.35,768,2,3,4,234,Others
BK-11260,Berenike Kampe,2018-09-22,6,659.14,99,4,2,1,421,Others
BM-11140,Becky Martin,2018-02-26,4,11789.63,307,3,1,4,314,Others
BM-11575,Brendan Murry,2018-09-21,6,808.16,100,4,2,1,421,Others
BM-11650,Brian Moss,2018-11-27,11,7294.19,33,4,4,4,444,Champions
BM-11785,Bryan Mills,2017-12-30,10,1338.84,365,3,4,2,342,Loyal
BN-11470,Brad Norvell,2016-04-16,4,265.3,988,1,1,1,111,Others
BN-11515,Bradley Nguyen,2018-12-21,5,1459.34,9,4,2,2,422,Others
BO-11350,Bill Overfelt,2017-04-28,5,2682.73,611,2,2,3,223,Others
BO-11425,Bobby Odegard,2018-10-16,2,130.83,75,4,1,1,411,Others
BP-11050,Barry Pond,2017-11-25,5,983.42,400,3,2,1,321,Potential
BP-11095,Bart Pistole,2018-11-30,12,2442.04,30,4,4,3,443,Champions
BP-11155,Becky Pak,2017-12-31,6,1697.86,364,3,2,2,322,Potential
BP-11185,Ben Peterman,2018-12-29,9,3675.86,1,4,4,4,444,Champions
BP-11230,Benjamin Patterson,2016-04-30,5,1181.49,974,2,2,2,222,At Risk
BP-11290,Beth Paige,2017-05-31,7,2475.16,578,2,3,3,233,Others
BS-11365,Bill Shonely,2017-06-20,5,10501.65,558,2,2,4,224,Others
BS-11380,Bill Stewart,2015-11-29,5,3887.83,1127,1,2,4,124,Others
BS-11590,Brendan Sweed,2018-11-25,6,2454.93,35,4,2,3,423,Others
BS-11665,Brian Stugart,2017-05-27,3,3288.11,582,2,1,3,213,Others
BS-11755,Bruce Stewart,2017-11-30,7,2562.38,395,3,3,3,333,Others
BS-11800,Bryan Spruell,2016-09-26,2,949.43,825,2,1,1,211,At Risk
BT-11305,Beth Thompson,2018-01-28,5,2567.66,336,3,2,3,323,Others
BT-11395,Bill Tyler,2016-11-29,6,2186.61,761,2,2,2,222,At Risk
BT-11440,Bobby Trafton,2015-11-23,4,603.88,1133,1,1,1,111,Others
BT-11485,Brad Thomas,2016-12-27,2,415.2,733,2,1,1,211,At Risk
BT-11530,Bradley Talbott,2018-09-30,5,2684.49,91,4,2,3,423,Others
BT-11680,Brian Thompson,2015-11-28,7,3196.75,1128,1,3,3,133,Others
BV-11245,Benjamin Venier,2018-01-30,5,1523.27,334,3,2,2,322,Potential
BW-11065,Barry Weirich,2015-05-25,3,385.52,1315,1,1,1,111,Others
BW-11110,Bart Watters,2018-08-31,8,4750.36,121,4,3,4,434,Champions
BW-11200,Ben Wallace,2015-09-30,6,1738.41,1187,1,2,2,122,Others
CA-11965,Carol Adams,2018-01-26,6,3789.72,338,3,2,4,324,Others
CA-12055,Cathy Armstrong,2017-11-24,5,1679.72,401,3,2,2,322,Potential
CA-12265,Christina Anderson,2015-12-26,8,2638.33,1100,1,3,3,133,Others
CA-12310,Christine Abelman,2015-07-19,4,1421.95,1260,1,1,2,112,Others
CA-12775,Cynthia Arntzen,2015-06-28,7,3041.57,1281,1,3,3,133,Others
CB-12025,Cassandra Brandow,2016-08-28,9,5730.67,854,2,4,4,244,Others
CB-12415,Christy Brittain,2017-07-25,8,1949.2,523,3,3,2,332,Others
CB-12535,Claudia Bergmann,2017-01-23,8,4246.46,706,2,3,4,234,Others
CC-12100,Chad Cunningham,2017-09-29,5,1685.89,457,3,2,2,322,Potential
CC-12145,Charles Crestani,2016-01-30,7,2471.65,1065,1,3,3,133,Others
CC-12220,Chris Cortes,2017-03-28,11,3670.26,642,2,4,3,243,Others
CC-12370,Christopher Conant,2017-05-23,5,12129.07,586,2,2,4,224,Others
CC-12430,Chuck Clark,2018-12-30,10,2870.05,0,4,4,3,443,Champions
CC-12475,Cindy Chapman,2018-09-30,9,1659.44,91,4,4,2,442,Loyal
CC-12550,Clay Cheatham,2018-06-15,3,113.83,198,4,1,1,411,Others
CC-12610,Corey Catlett,2016-07-30,7,2540.63,883,2,3,3,233,Others
CC-12670,Craig Carreira,2017-11-27,7,2269.7,398,3,3,3,333,Others
CC-12685,Craig Carroll,2016-10-23,4,2854.12,798,2,1,3,213,Others
CD-11920,Carlos Daly,2017-12-29,5,2033.97,366,3,2,2,322,Potential
CD-11980,Carol Darley,2017-11-24,3,639.77,401,3,1,1,311,Potential
CD-12280,Christina DeMoss,2018-11-18,2,1205.58,42,4,1,2,412,Others
CD-12790,Cynthia Delaney,2015-12-27,5,1860.73,1099,1,2,2,122,Others
CG-12040,Catherine Glotzbach,2017-10-24,6,904.47,432,3,2,1,321,Potential
CG-12520,Claire Gute,2018-01-26,3,1148.78,338,3,1,2,312,Potential
CH-12070,Cathy Hwang,2016-10-30,3,1537.24,791,2,1,2,212,At Risk
CJ-11875,Carl Jackson,2017-12-30,1,16.52,365,3,1,1,311,Potential
CJ-12010,Caroline Jumper,2018-03-27,8,11164.97,278,3,3,4,334,Others
CK-12205,Chloris Kastensmidt,2015-07-28,13,3154.86,1251,1,4,3,143,Others
CK-12325,Christine Kargatis,2018-02-17,5,2945.32,316,3,2,3,323,Others
CK-12595,Clytie Kelty,2018-01-29,11,2372.75,335,3,4,3,343,Others
CK-12760,Cyma Kinney,2018-03-28,9,1582.11,277,3,4,2,342,Loyal
CL-11890,Carl Ludwig,2015-07-26,4,1262.01,1253,1,1,2,112,Others
CL-12565,Clay Ludtke,2016-12-30,12,10880.55,730,2,4,4,244,Others
CL-12700,Craig Leslie,2018-01-28,4,2335.59,336,3,1,3,313,Others
CM-11815,Candace McMahon,2015-12-31,6,1673.89,1095,1,2,2,122,Others
CM-11935,Carlos Meador,2016-09-24,2,565.39,827,2,1,1,211,At Risk
CM-12115,Chad McGuire,2018-03-31,4,1661.61,274,3,1,2,312,Potential
CM-12160,Charles McCrossin,2018-09-28,6,2533.31,93,4,2,3,423,Others
CM-12190,Charlotte Melton,2018-12-22,6,1475.14,8,4,2,2,422,Others
CM-12235,Chris McAfee,2017-11-27,5,2305.71,398,3,2,3,323,Others
CM-12385,Christopher Martinez,2018-11-23,4,8954.02,37,4,1,4,414,Loyal
CM-12445,Chuck Magee,2017-09-26,3,287.99,460,3,1,1,311,Potential
CM-12655,Corinna Mitchell,2017-11-13,5,5890.51,412,3,2,4,324,Others
CM-12715,Craig Molinari,2015-09-26,4,3984.45,1191,1,1,4,114,Others
CP-12085,Cathy Prescott,2017-03-30,8,5402.25,640,2,3,4,234,Others
CP-12340,Christine Phan,2018-04-24,7,5817.19,250,3,3,4,334,Others
CR-12580,Clay Rozendal,2017-11-24,4,2148.85,401,3,1,2,312,Potential
CR-12625,Corey Roper,2015-08-23,3,475.9,1225,1,1,1,111,Others
CR-12730,Craig Reiter,2017-08-22,4,1600.55,495,3,1,2,312,Potential
CR-12820,Cyra Reiten,2016-01-24,3,1397.87,1071,1,1,2,112,Others
CS-11845,Cari Sayre,2018-09-30,5,1278.95,91,4,2,2,422,Others
CS-11860,Cari Schnelling,2015-06-30,6,537.63,1279,1,2,1,121,Others
CS-11950,Carlos Soltero,2017-03-31,11,3036.55,639,2,4,3,243,Others
CS-12130,Chad Sievert,2017-08-28,4,884.64,489,3,1,1,311,Potential
CS-12175,Charles Sheldon,2017-09-26,5,844.46,460,3,2,1,321,Potential
CS-12250,Chris Selesnick,2015-11-28,12,2754.22,1128,1,4,3,143,Others
CS-12355,Christine Sundaresam,2018-12-24,11,3202.16,6,4,4,3,443,Champions
CS-12400,Christopher Schild,2018-12-28,9,3651.86,2,4,4,3,443,Champions
CS-12460,Chuck Sachs,2018-12-03,2,550.64,27,4,1,1,411,Others
CS-12490,Cindy Schnelling,2017-04-18,4,970.11,621,2,1,1,211,At Risk
CS-12505,Cindy Stewart,2015-03-26,6,5690.06,1375,1,2,4,124,Others
CT-11995,Carol Triggs,2018-06-29,8,3241.9,184,4,3,3,433,Others
CV-12295,Christina VanderZanden,2015-03-28,5,2830.63,1373,1,2,3,123,Others
CV-12805,Cynthia Voltz,2018-04-27,9,2370.31,247,3,4,3,343,Others
CW-11905,Carl Weiss,2016-05-31,6,1136.59,943,2,2,2,222,At Risk
CY-12745,Craig Yedwab,2018-10-31,7,2004.08,60,4,3,2,432,Others
Co-12640,Corey-Lock,2015-11-29,5,1300.08,1127,1,2,2,122,Others
DA-13450,Dianna Arnett,2015-09-26,4,156.76,1191,1,1,1,111,Others
DB-12910,Daniel Byrd,2018-03-31,8,2171.6,274,3,3,2,332,Others
DB-12970,Darren Budd,2017-12-25,4,2469.67,370,3,1,3,313,Others
DB-13060,Dave Brooks,2015-06-21,6,4151.51,1288,1,2,4,124,Others
DB-13120,David Bremer,2016-12-27,7,2973.09,733,2,3,3,233,Others
DB-13210,Dean Braden,2017-11-30,10,2332.58,395,3,4,3,343,Others
DB-13270,Deborah Brumfield,2016-11-30,8,4655.9,760,2,3,4,234,Others
DB-13360,Dennis Bolton,2016-06-26,5,1081.47,917,2,2,1,221,At Risk
DB-13405,Denny Blanton,2018-06-26,4,1711.69,187,4,1,2,412,Others
DB-13555,Dorothy Badders,2015-04-21,7,3908.8,1349,1,3,4,134,Others
DB-13615,Doug Bickford,2015-09-30,7,1989.05,1187,1,3,2,132,Others
DB-13660,Duane Benoit,2017-12-31,7,1155.2,364,3,3,2,332,Others
DC-12850,Dan Campbell,2017-03-24,9,3336.17,646,2,4,3,243,Others
DC-13285,Debra Catini,2015-12-29,5,1174.62,1097,1,2,2,122,Others
DD-13570,Dorothy Dickinson,2015-03-31,6,269.54,1370,1,2,1,121,Others
DE-13255,Deanra Eno,2016-09-24,5,2550.87,827,2,2,3,223,Others
DF-13135,David Flashing,2017-01-30,3,2390.53,699,2,1,3,213,Others
DG-13300,Deirdre Greer,2018-11-28,5,3195.82,32,4,2,3,423,Others
DH-13075,Dave Hallsten,2018-03-28,5,3487.2,277,3,2,3,323,Others
DH-13675,Duane Huffman,2015-11-28,4,1043.1,1128,1,1,1,111,Others
DJ-13420,Denny Joy,2016-10-10,4,2012.52,811,2,1,2,212,At Risk
DJ-13510,Don Jones,2018-04-30,8,2501.69,244,4,3,3,433,Others
DJ-13630,Doug Jacobs,2017-11-19,3,3356.4,406,3,1,3,313,Others
DK-12835,Damala Kotsonis,2016-10-31,12,3256.48,790,2,4,3,243,Others
DK-12895,Dana Kaydos,2018-08-27,5,4282.18,125,4,2,4,424,Loyal
DK-12985,Darren Koutras,2015-11-24,5,1687.04,1132,1,2,2,122,Others
DK-13090,Dave Kipp,2018-02-21,7,2650.56,312,3,3,3,333,Others
DK-13150,David Kendrick,2018-12-20,2,797.83,10,4,1,1,411,Others
DK-13225,Dean Katz,2018-06-29,9,4802.39,184,4,4,4,444,Champions
DK-13375,Dennis Kane,2018-07-27,8,3318.49,156,4,3,3,433,Others
DL-12865,Dan Lawera,2015-06-29,7,444.02,1280,1,3,1,131,Others
DL-12925,Daniel Lacy,2016-09-22,6,3272.2,829,2,2,3,223,Others
DL-13315,Delfina Latchford,2018-11-25,8,1458.26,35,4,3,2,432,Others
DL-13330,Denise Leinenbach,2017-10-28,4,585.02,428,3,1,1,311,Potential
DL-13495,Dionis Lloyd,2018-04-30,8,3539.32,244,4,3,3,433,Others
DM-12955,Dario Medina,2015-09-30,7,1322.03,1187,1,3,2,132,Others
DM-13015,Darrin Martin,2018-08-24,7,6345.1,128,4,3,4,434,Champions
DM-13345,Denise Monton,2017-11-21,8,4074.47,404,3,3,4,334,Others
DM-13525,Don Miller,2016-09-11,3,1376.79,840,2,1,2,212,At Risk
DN-13690,Duane Noonan,2018-05-27,7,2139.79,217,4,3,2,432,Others
DO-13435,Denny Ordway,2018-03-31,9,1300.03,274,3,4,2,342,Loyal
DO-13645,Doug O'Connell,2018-11-27,7,1267.32,33,4,3,2,432,Others
DP-13000,Darren Powers,2018-08-26,8,897.52,126,4,3,1,431,Others
DP-13105,Dave Poirier,2018-12-24,8,2215.0,6,4,3,2,432,Others
DP-13165,David Philippe,2016-10-10,2,1058.62,811,2,1,1,211,At Risk
DP-13390,Dennis Pardue,2017-05-24,9,5480.72,585,2,4,4,244,Others
DR-12880,Dan Reichenbach,2018-06-29,9,6528.03,184,4,4,4,444,Champions
DR-12940,Daniel Raglin,2016-03-30,8,8350.87,1005,1,3,4,134,Others
DS-13030,Darrin Sayre,2018-09-28,4,1762.21,93,4,1,2,412,Others
DS-13180,David Smith,2018-03-31,9,2881.81,274,3,4,3,343,Others
DV-13045,Darrin Van Huff,2018-06-30,5,1119.48,183,4,2,2,422,Others
DV-13465,Dianna Vittorini,2015-06-22,5,3254.49,1287,1,2,3,123,Others
DW-13195,David Wiener,2018-10-22,6,1080.75,69,4,2,1,421,Others
DW-13480,Dianna Wilson,2018-05-27,5,5271.63,217,4,2,4,424,Loyal
DW-13540,Don Weiss,2017-02-27,5,344.08,671,2,2,1,221,At Risk
DW-13585,Dorothy Wardle,2016-06-28,7,1204.85,915,2,3,2,232,Others
Dl-13600,Dorris liebe,2015-03-30,5,755.6,1371,1,2,1,121,Others
Dp-13240,Dean percer,2015-05-26,11,7198.76,1314,1,4,4,144,Others
EA-14035,Erin Ashbrook,2018-07-31,12,2752.44,152,4,4,3,443,Champions
EB-13705,Ed Braxton,2016-03-31,9,3644.98,1004,1,4,3,143,Others
EB-13750,Edward Becker,2017-05-30,10,3236.31,579,2,4,3,243,Others
EB-13840,Ellis Ballard,2015-05-30,4,964.45,1310,1,1,1,111,Others
EB-13870,Emily Burns,2018-01-30,10,2767.22,334,3,4,3,343,Others
EB-13930,Eric Barreto,2017-02-27,5,944.6,671,2,2,1,221,At Risk
EB-13975,Erica Bern,2018-12-30,4,1643.26,0,4,1,2,412,Others
EB-14110,Eugene Barchas,2016-11-28,6,3071.13,762,2,2,3,223,Others
EB-14170,Evan Bailliet,2015-09-29,6,1186.33,1188,1,2,2,122,Others
EC-14050,Erin Creighton,2018-07-31,5,461.91,152,4,2,1,421,Others
ED-13885,Emily Ducich,2017-10-24,8,3484.92,432,3,3,3,333,Others
EG-13900,Emily Grady,2018-03-31,5,1832.02,274,3,2,2,322,Potential
EH-13765,Edward Hooks,2017-10-30,10,9940.38,426,3,4,4,344,Champions
EH-13945,Eric Hoffmann,2018-05-27,8,684.17,217,4,3,1,431,Others
EH-13990,Erica Hackney,2017-03-31,6,825.95,639,2,2,1,221,At Risk
EH-14005,Erica Hernandez,2018-12-28,7,1219.53,2,4,3,2,432,Others
EH-14125,Eugene Hildebrand,2018-07-31,10,3082.65,152,4,4,3,443,Champions
EH-14185,Evan Henry,2017-12-30,6,923.88,365,3,2,1,321,Potential
EJ-13720,Ed Jacobs,2015-01-27,4,2162.17,1433,1,1,2,112,Others
EJ-14155,Eva Jacobs,2018-05-14,5,2656.69,230,4,2,3,423,Others
EK-13795,Eileen Kiefer,2016-11-29,4,1303.48,761,2,1,2,212,At Risk
EL-13735,Ed Ludwig,2017-04-22,2,124.28,617,2,1,1,211,At Risk
EM-13810,Eleni McCrary,2016-08-24,5,2567.01,858,2,2,3,223,Others
EM-13825,Elizabeth Moffitt,2016-05-31,8,2339.6,943,2,3,3,233,Others
EM-13960,Eric Murdock,2016-12-28,5,933.7,732,2,2,1,221,At Risk
EM-14065,Erin Mull,2015-07-22,4,228.99,1257,1,1,1,111,Others
EM-14095,Eudokia Martin,2016-11-21,4,1041.04,769,2,1,1,211,At Risk
EM-14140,Eugene Moren,2017-05-30,6,4588.44,579,2,2,4,224,Others
EM-14200,Evan Minnotte,2018-03-26,3,366.82,279,3,1,1,311,Potential
EN-13780,Edward Nazzal,2016-05-30,4,2199.37,944,2,1,2,212,At Risk
EP-13915,Emily Phan,2017-12-31,17,5478.06,364,3,4,4,344,Champions
ER-13855,Elpida Rittenbach,2016-12-21,3,1245.79,739,2,1,2,212,At Risk
ES-14020,Erica Smith,2018-11-20,5,3510.46,40,4,2,3,423,Others
ES-14080,Erin Smith,2017-09-29,9,4657.92,457,3,4,4,344,Champions
FA-14230,Frank Atkinson,2016-10-30,7,2984.05,791,2,3,3,233,Others
FC-14245,Frank Carlisle,2018-10-21,7,3418.74,70,4,3,3,433,Others
FC-14335,Fred Chung,2016-03-30,7,3889.37,1005,1,3,4,134,Others
FG-14260,Frank Gastineau,2018-11-26,7,1383.14,34,4,3,2,432,Others
FH-14275,Frank Hawley,2018-11-23,10,4256.27,37,4,4,4,444,Champions
FH-14350,Fred Harton,2016-12-28,4,2271.28,732,2,1,3,213,Others
FH-14365,Fred Hopkins,2018-09-29,8,6987.2,92,4,4,4,444,Champions
FM-14215,Filia McAdams,2018-04-29,10,2456.64,245,3,4,3,343,Others
FM-14290,Frank Merwin,2015-08-26,9,3736.2,1222,1,4,4,144,Others
FM-14380,Fred McMath,2018-06-25,9,2523.27,188,4,4,3,443,Champions
FO-14305,Frank Olsen,2017-10-31,10,2678.44,425,3,4,3,343,Others
FP-14320,Frank Preis,2017-12-26,8,4046.75,369,3,4,4,344,Champions
FW-14395,Fred Wasserman,2016-03-22,3,79.75,1013,1,1,1,111,Others
GA-14515,George Ashbrook,2017-11-26,5,3797.23,399,3,2,4,324,Others
GA-14725,Guy Armstrong,2015-12-30,11,1398.38,1096,1,4,2,142,Others
GB-14530,George Bell,2018-10-29,11,1568.44,62,4,4,2,442,Loyal
GB-14575,Giulietta Baptist,2018-01-28,5,4716.29,336,3,2,4,324,Others
GD-14590,Giulietta Dortch,2018-12-25,4,1888.07,5,4,1,2,412,Others
GG-14650,Greg Guthrie,2015-10-31,9,2224.0,1156,1,4,3,143,Others
GH-14410,Gary Hansen,2016-07-30,9,2819.47,883,2,4,3,243,Others
GH-14425,Gary Hwang,2015-06-17,4,4172.85,1292,1,1,4,114,Others
GH-14485,Gene Hale,2017-12-08,2,1361.24,387,3,1,2,312,Potential
GH-14665,Greg Hansen,2018-12-28,2,146.94,2,4,1,1,411,Others
GK-14620,Grace Kelly,2017-12-25,9,6497.27,370,3,4,4,344,Champions
GM-14440,Gary McGarr,2018-07-29,7,3582.82,154,4,3,3,433,Others
GM-14455,Gary Mitchum,2015-12-31,6,3078.62,1095,1,2,3,123,Others
GM-14500,Gene McClure,2016-09-26,10,1255.68,825,2,4,2,242,Others
GM-14680,Greg Matthias,2018-07-31,6,3163.63,152,4,2,3,423,Others
GM-14695,Greg Maxwell,2017-09-20,3,6049.97,466,3,1,4,314,Others
GP-14740,Guy Phonely,2016-11-26,2,236.53,764,2,1,1,211,At Risk
GR-14560,Georgia Rosenberg,2015-11-21,2,1284.38,1135,1,1,2,112,Others
GT-14635,Grant Thornton,2015-06-06,3,9351.21,1303,1,1,4,114,Others
GT-14710,Greg Tran,2018-06-27,11,11820.12,186,4,4,4,444,Champions
GT-14755,Guy Thornton,2018-05-29,4,226.44,215,4,1,1,411,Others
GW-14605,Giulietta Weimer,2018-07-29,7,2189.02,154,4,3,2,432,Others
GZ-14470,Gary Zandusky,2018-12-23,9,4355.15,7,4,4,4,444,Champions
GZ-14545,George Zrebassa,2015-09-28,4,2454.62,1189,1,1,3,113,Others
HA-14905,Helen Abelman,2015-06-30,7,2163.3,1279,1,3,2,132,Others
HA-14920,Helen Andreada,2016-07-30,8,2584.16,883,2,4,3,243,Others
HD-14785,Harold Dahlen,2016-11-22,3,251.36,768,2,1,1,211,At Risk
HE-14800,Harold Engle,2017-01-30,3,755.46,699,2,1,1,211,At Risk
HF-14995,Herbert Flentye,2017-11-27,7,2533.16,398,3,3,3,333,Others
HG-14845,Harry Greene,2015-04-29,5,785.63,1341,1,2,1,121,Others
HG-14965,Henry Goldwyn,2018-03-31,12,3247.64,274,3,4,3,343,Others
HG-15025,Hunter Glantz,2018-12-24,7,3690.28,6,4,3,4,434,Champions
HH-15010,Hilary Holden,2015-08-29,2,218.67,1219,1,1,1,111,Others
HJ-14875,Heather Jas,2018-08-26,5,358.1,126,4,2,1,421,Others
HK-14890,Heather Kirkland,2018-03-26,8,4877.78,279,3,4,4,344,Champions
HL-15040,Hunter Lopez,2017-06-24,6,12873.3,554,2,2,4,224,Others
HM-14860,Harry Marie,2018-12-28,10,8236.76,2,4,4,4,444,Champions
HM-14980,Henry MacAllister,2018-04-27,4,736.28,247,3,1,1,311,Potential
HP-14815,Harold Pawlan,2016-10-31,7,1990.31,790,2,3,2,232,Others
